date,open,high,low,close,volume,change_percent
2024-01-01,3.8000,3.8500,3.7800,3.8200,10000,0.20
2024-01-02,3.8200,3.8700,3.8000,3.8600,12000,1.05
2024-01-03,3.8600,3.9000,3.8300,3.8800,11000,0.52
2024-01-04,3.8800,3.9200,3.8400,3.8500,13000,-0.77
2024-01-05,3.8500,3.9100,3.8300,3.9000,12500,1.30
2024-01-08,3.9000,3.9500,3.8800,3.9300,12800,0.77
2024-01-09,3.9300,3.9800,3.9000,3.9600,13200,0.76
2024-01-10,3.9600,4.0100,3.9400,3.9900,14100,0.76
2024-01-11,3.9900,4.0300,3.9600,4.0100,13800,0.50
2024-01-12,4.0100,4.0500,3.9900,4.0400,14400,0.75
